variable,weight
w_total_compensation_k1000_118,5.7846289552183565
w_total_compensation_k1000_208,71.2759631972028
w_total_compensation_k1000_343,11.284779737539804
w_total_compensation_k1000_390,1.3351906550379087
w_total_compensation_k1000_492,36.82568825376271
w_total_compensation_k1000_548,1444.0666572821924
w_total_compensation_k1000_633,3.1937259901243014
w_total_compensation_k1000_647,79.86786305377194
w_total_compensation_k1000_648,1.1144199922075442
w_total_compensation_k1000_649,34.788707186591715
w_total_compensation_k1000_652,11.06824703367619
w_total_compensation_k1000_653,2.3858314948898047
w_total_compensation_k1000_655,2.2716037445256827
w_total_compensation_k1000_657,1.349038810896907
w_total_compensation_k1000_671,838.7116696075107
w_total_compensation_k1000_672,34.83724887665855
w_total_compensation_k1000_674,34.028249335643466
w_total_compensation_k1000_675,6.434007672089869
w_total_compensation_k1000_682,14.121670873689938
w_total_compensation_k1000_686,3.438464545491405
w_total_compensation_k1000_703,19.526159980539724
w_total_compensation_k1000_719,11.036572058946183
w_total_compensation_k1000_724,33.56214459096795
w_total_compensation_k1000_726,0.8733745542456438
w_total_compensation_k1000_736,20.945396736445502
w_total_compensation_k1000_744,18.111472560337305
w_total_compensation_k1000_803,1.2957888721768658
w_total_compensation_k1000_804,6.650671449539867
w_total_compensation_k1000_811,882.9120837332538
w_total_compensation_k1000_812,1015.9689513139193
w_total_compensation_k1000_814,3.196018197912147
w_total_compensation_k1000_829,120.04590861333746
w_total_compensation_k1000_89,131.9774348931253
