variable,weight
w_salary_k1000_118,17.10390500429105
w_salary_k1000_208,60.54732452958039
w_salary_k1000_215,1.9397052512365403
w_salary_k1000_343,22.14275169879306
w_salary_k1000_390,9.2628087275691
w_salary_k1000_633,12.44243898030129
w_salary_k1000_647,136.81995158436993
w_salary_k1000_648,2.043679525910126
w_salary_k1000_649,47.45190519349055
w_salary_k1000_652,12.556355608059707
w_salary_k1000_653,0.7161485505311752
w_salary_k1000_655,0.8226085021415769
w_salary_k1000_657,9.903712637717085
w_salary_k1000_671,798.0869085617628
w_salary_k1000_672,67.66085114802821
w_salary_k1000_674,43.32052671558224
w_salary_k1000_675,6.210137660926673
w_salary_k1000_682,42.39190200848628
w_salary_k1000_686,3.246705773346048
w_salary_k1000_703,36.60522875145548
w_salary_k1000_719,15.554959013131372
w_salary_k1000_724,33.616873859585155
w_salary_k1000_726,1.0712055364126905
w_salary_k1000_736,29.66285845265072
w_salary_k1000_803,3.0291215799902362
w_salary_k1000_804,8.59519305784306
w_salary_k1000_811,175.68082814722604
w_salary_k1000_812,1585.5509811843594
w_salary_k1000_814,0.8480058878525996
w_salary_k1000_829,156.96147534898054
w_salary_k1000_89,187.6673124509549
