variable,weight
w_total_compensation_k1000_118,13.993026755251307
w_total_compensation_k1000_208,50.76419552254926
w_total_compensation_k1000_227,0.0021168697348791675
w_total_compensation_k1000_251,0.8991332097530527
w_total_compensation_k1000_343,11.245381646468543
w_total_compensation_k1000_353,8.576319209787131
w_total_compensation_k1000_368,20.116043475599728
w_total_compensation_k1000_380,1.4669787593597294
w_total_compensation_k1000_390,1.2167670662244456
w_total_compensation_k1000_392,4.62344190879881
w_total_compensation_k1000_393,0.36137203088731884
w_total_compensation_k1000_492,25.975380593760942
w_total_compensation_k1000_548,550.5064824940497
w_total_compensation_k1000_633,9.43503975159047
w_total_compensation_k1000_638,1.8210176310686021
w_total_compensation_k1000_644,0.5704404439042394
w_total_compensation_k1000_647,43.03546082230091
w_total_compensation_k1000_648,1.9531821550337505
w_total_compensation_k1000_649,27.205021779685104
w_total_compensation_k1000_652,4.932146236175403
w_total_compensation_k1000_653,2.4781794567681223
w_total_compensation_k1000_655,0.220856489799936
w_total_compensation_k1000_657,5.257054507820811
w_total_compensation_k1000_659,1.2210937474349026
w_total_compensation_k1000_661,0.8400418784149515
w_total_compensation_k1000_663,2.2947274978413965
w_total_compensation_k1000_666,19.121978852621464
w_total_compensation_k1000_668,2.452281763650869
w_total_compensation_k1000_671,649.8776040166485
w_total_compensation_k1000_672,36.25525125621709
w_total_compensation_k1000_674,28.359499366057346
w_total_compensation_k1000_675,4.523536855689375
w_total_compensation_k1000_678,1.174266876793674
w_total_compensation_k1000_682,20.010586219140865
w_total_compensation_k1000_683,2.6114474024644068
w_total_compensation_k1000_685,0.29826323925407516
w_total_compensation_k1000_686,1.5684303369202282
w_total_compensation_k1000_687,21.784492546927492
w_total_compensation_k1000_695,10.200130377900892
w_total_compensation_k1000_703,20.39042766863834
w_total_compensation_k1000_707,1.1128361844496113
w_total_compensation_k1000_708,0.22472041784281047
w_total_compensation_k1000_709,0.369592648150275
w_total_compensation_k1000_710,6.245834499082614
w_total_compensation_k1000_716,0.7929238166495501
w_total_compensation_k1000_719,5.6406529857224115
w_total_compensation_k1000_724,23.98583042442922
w_total_compensation_k1000_726,0.463469331398656
w_total_compensation_k1000_736,12.851416745756373
w_total_compensation_k1000_740,27.81000847351765
w_total_compensation_k1000_744,41.90058037523295
w_total_compensation_k1000_803,1.636412003720193
w_total_compensation_k1000_804,7.749286003401304
w_total_compensation_k1000_811,1046.7019847181907
w_total_compensation_k1000_812,912.6413472224539
w_total_compensation_k1000_814,1.2623965492551026
w_total_compensation_k1000_829,73.7489840739169
w_total_compensation_k1000_89,92.05349665912304
w_total_compensation_k1000_915,0.293459375328982
w_total_compensation_k1000_976,10.359537172697472
