variable,weight
w_total_compensation_k1000_100,-10.168322478696375
w_total_compensation_k1000_1003,307.35206556300255
w_total_compensation_k1000_112,-7.180762691667681
w_total_compensation_k1000_118,-8.399285568485038
w_total_compensation_k1000_121,-109.47893639846302
w_total_compensation_k1000_143,-16.36131399288116
w_total_compensation_k1000_145,-122.76938186077757
w_total_compensation_k1000_146,-3.517951722300943
w_total_compensation_k1000_152,-36.8677889070438
w_total_compensation_k1000_153,-46.926726977779985
w_total_compensation_k1000_154,42.7269053308676
w_total_compensation_k1000_157,-2.2682620701067187
w_total_compensation_k1000_159,28.565180752894918
w_total_compensation_k1000_160,-13.560909754086472
w_total_compensation_k1000_163,-8.723899711556443
w_total_compensation_k1000_164,-1.0987609114404868
w_total_compensation_k1000_171,9.572291091184553
w_total_compensation_k1000_173,196.90271598575643
w_total_compensation_k1000_193,18.628742451375
w_total_compensation_k1000_196,-123.66897735279315
w_total_compensation_k1000_201,-102.25978816969419
w_total_compensation_k1000_206,19.124447588510222
w_total_compensation_k1000_208,71.10635800883327
w_total_compensation_k1000_209,113.19026180030517
w_total_compensation_k1000_21,-90.93944918956568
w_total_compensation_k1000_211,45.578330667164664
w_total_compensation_k1000_212,9.890714948675775
w_total_compensation_k1000_213,-1.534148185487043
w_total_compensation_k1000_215,-6.936370836821687
w_total_compensation_k1000_219,-13.631533820166702
w_total_compensation_k1000_220,15.889317930267607
w_total_compensation_k1000_221,65.96663644389092
w_total_compensation_k1000_227,-1.0049207040950512
w_total_compensation_k1000_251,16.440212511666417
w_total_compensation_k1000_266,-9.452688998309661
w_total_compensation_k1000_286,-71.93786529092569
w_total_compensation_k1000_309,14.23092110220066
w_total_compensation_k1000_312,112.3418476810741
w_total_compensation_k1000_313,6.356878584765759
w_total_compensation_k1000_314,-200.9843370070031
w_total_compensation_k1000_323,-118.78033959403801
w_total_compensation_k1000_325,-42.35528294196452
w_total_compensation_k1000_343,4.058878330897493
w_total_compensation_k1000_353,38.61887324584354
w_total_compensation_k1000_368,-28.010859342998838
w_total_compensation_k1000_372,15.03028972081133
w_total_compensation_k1000_374,65.40402875355055
w_total_compensation_k1000_377,4.076433095591548
w_total_compensation_k1000_380,-7.494888354032876
w_total_compensation_k1000_383,-75.55373956677971
w_total_compensation_k1000_388,-33.6660187646398
w_total_compensation_k1000_390,10.434525877445097
