sm_type,role_k1000_v3_num
salary_k1000_correlated_w_sm,633
salary_k1000_correlated_w_sm,634
salary_k1000_correlated_w_sm,635
salary_k1000_correlated_w_sm,638
salary_k1000_correlated_w_sm,639
salary_k1000_correlated_w_sm,640
salary_k1000_correlated_w_sm,641
salary_k1000_correlated_w_sm,642
salary_k1000_correlated_w_sm,644
salary_k1000_correlated_w_sm,645
salary_k1000_correlated_w_sm,647
salary_k1000_correlated_w_sm,648
salary_k1000_correlated_w_sm,651
salary_k1000_correlated_w_sm,652
salary_k1000_correlated_w_sm,653
salary_k1000_correlated_w_sm,654
salary_k1000_correlated_w_sm,657
salary_k1000_correlated_w_sm,658
salary_k1000_correlated_w_sm,659
salary_k1000_correlated_w_sm,660
salary_k1000_correlated_w_sm,661
salary_k1000_correlated_w_sm,662
salary_k1000_correlated_w_sm,663
salary_k1000_correlated_w_sm,664
salary_k1000_correlated_w_sm,665
salary_k1000_correlated_w_sm,666
salary_k1000_correlated_w_sm,667
salary_k1000_correlated_w_sm,668
salary_k1000_correlated_w_sm,669
salary_k1000_correlated_w_sm,671
salary_k1000_correlated_w_sm,672
salary_k1000_correlated_w_sm,673
salary_k1000_correlated_w_sm,674
salary_k1000_correlated_w_sm,675
salary_k1000_correlated_w_sm,676
salary_k1000_correlated_w_sm,677
salary_k1000_correlated_w_sm,678
salary_k1000_correlated_w_sm,679
salary_k1000_correlated_w_sm,680
salary_k1000_correlated_w_sm,681
salary_k1000_correlated_w_sm,682
salary_k1000_correlated_w_sm,683
salary_k1000_correlated_w_sm,685
salary_k1000_correlated_w_sm,686
salary_k1000_correlated_w_sm,687
salary_k1000_correlated_w_sm,688
salary_k1000_correlated_w_sm,689
salary_k1000_correlated_w_sm,691
salary_k1000_correlated_w_sm,692
salary_k1000_correlated_w_sm,693
salary_k1000_correlated_w_sm,694
salary_k1000_correlated_w_sm,699
salary_k1000_correlated_w_sm,700
salary_k1000_correlated_w_sm,701
salary_k1000_correlated_w_sm,702
salary_k1000_correlated_w_sm,703
salary_k1000_correlated_w_sm,704
salary_k1000_correlated_w_sm,705
salary_k1000_correlated_w_sm,706
salary_k1000_correlated_w_sm,707
salary_k1000_correlated_w_sm,708
salary_k1000_correlated_w_sm,709
salary_k1000_correlated_w_sm,710
salary_k1000_correlated_w_sm,714
salary_k1000_correlated_w_sm,715
salary_k1000_correlated_w_sm,716
salary_k1000_correlated_w_sm,718
salary_k1000_correlated_w_sm,719
salary_k1000_correlated_w_sm,720
salary_k1000_correlated_w_sm,721
salary_k1000_correlated_w_sm,722
salary_k1000_correlated_w_sm,724
salary_k1000_correlated_w_sm,726
salary_k1000_correlated_w_sm,728
salary_k1000_correlated_w_sm,729
salary_k1000_correlated_w_sm,730
salary_k1000_correlated_w_sm,732
salary_k1000_correlated_w_sm,735
salary_k1000_correlated_w_sm,736
salary_k1000_correlated_w_sm,738
salary_k1000_correlated_w_sm,740
