regression_number,file_name,rank,r2,coefficient
1,list_by_type_8,1,0.7050589827891274,52.79533016006593
1,list_by_type_7,2,0.6996641411393298,41.904001431744604
1,list_by_type_7,3,0.6996641411393298,41.904001431744604
1,list_by_type_4,4,0.6528560369924533,1.440224417611554e-05
1,list_by_type_2,5,0.6523930906215072,1.4005282262211431e-05
1,list_by_type_5,6,0.6404852651095541,9.439458778271963
1,list_by_type_14,7,0.636515017999379,1.3240363696123294e-05
1,list_by_type_18,8,0.6336378034337604,1.3494162591364587
1,list_by_type_17,9,0.6291086580986224,1.9091058031852433
1,list_by_type_6,10,0.6280605242269931,10.611615676148539
1,list_by_type_11,11,0.6217653783252339,2.077683910009807
1,list_by_type_12,12,0.6216459267314997,2.109067098637888
1,list_by_type_13,13,0.6216459267314997,2.109067098637888
1,list_by_type_1,14,0.6172231863199924,1.9284817402404566
1,list_by_type_10,15,0.6171969730585772,1.3571504658324662
1,list_by_type_16,16,0.5775589098665077,0.6654943845398561
1,list_by_type_9,17,0.5725524006951053,9.915862848439327
1,list_by_type_3,18,0.5274834636297456,2.0578923581672446
2,list_by_type_8,1,0.7016673814285562,40.265303895077224
2,list_by_type_7,2,0.6918621874152029,30.12519398600309
2,list_by_type_7,3,0.6918621874152029,30.12519398600309
2,list_by_type_14,4,0.6391287168849653,1.041212136185482e-05
2,list_by_type_2,5,0.6370617001039094,9.657173535719612e-06
2,list_by_type_18,6,0.6333522768810805,1.0362006629194218
2,list_by_type_4,7,0.6299447209115552,9.744202214035954e-06
2,list_by_type_17,8,0.6282139857969704,1.4260858018671354
2,list_by_type_6,9,0.6277292515607165,8.235488404567782
2,list_by_type_11,10,0.6213508536642844,1.5281170851666175
2,list_by_type_12,11,0.6209329563376411,1.5714461514512716
2,list_by_type_13,12,0.6209329563376411,1.5714461514512716
2,list_by_type_5,13,0.6182287771870453,6.250477453417127
2,list_by_type_10,14,0.6180104853060624,1.0409768272199518
2,list_by_type_1,15,0.6172223061765306,1.440337341421593
2,list_by_type_16,16,0.5855509143558577,0.5390041684306741
2,list_by_type_9,17,0.5770656573004126,7.730435465718795
2,list_by_type_3,18,0.5354304778435888,1.6226295299466544
3,list_by_type_18,1,0.07859589968268244,588463.1440537897
3,list_by_type_17,2,0.07489420241531863,1200191.3373385821
3,list_by_type_5,3,0.05028865193160004,7319252.276020101
3,list_by_type_7,4,0.028609364811102544,8916298.26794157
3,list_by_type_7,5,0.028609364811102544,8916298.26794157
3,list_by_type_8,6,0.020177809237171274,9222913.090271624
3,list_by_type_1,7,0.01292732746810299,1760850.7249163885
3,list_by_type_14,8,0.012388859072551939,14.973074468266544
3,list_by_type_12,9,0.009652223055959808,1564691.7668372781
3,list_by_type_13,10,0.009652223055959808,1564691.7668372781
3,list_by_type_9,11,0.009141419031802767,3724482.446701335
3,list_by_type_11,12,0.009010045936674427,1503052.7955357633
3,list_by_type_10,13,0.00746389810100434,1377259.7185756243
3,list_by_type_3,14,0.006826148323645365,1424670.102104303
3,list_by_type_4,15,0.003972190138780141,4.8274202089299045
3,list_by_type_16,16,0.0034512884523607568,918282.1375771967
3,list_by_type_2,17,0.0031335641938229353,5.798995167168911
3,list_by_type_6,18,0.002732017500341799,1909824.738002742
4,list_by_type_18,1,0.07803653620775863,407282.8774692698
4,list_by_type_17,2,0.07272989062598267,888831.8337668083
4,list_by_type_5,3,0.03790613618516958,4490958.859041806
4,list_by_type_7,4,0.024847767294524092,7398787.868052346
4,list_by_type_7,5,0.024847767294524092,7398787.868052346
4,list_by_type_8,6,0.018130539651447397,8077005.325099621
4,list_by_type_9,7,0.010621125442577983,3908903.2155242865
4,list_by_type_1,8,0.00974295379635981,1465864.0609114657
4,list_by_type_14,9,0.009159647163713647,12.74817977750041
4,list_by_type_12,10,0.0071627460998290315,1284739.8888335095
4,list_by_type_13,11,0.0071627460998290315,1284739.8888335095
4,list_by_type_11,12,0.006578015709338025,1223926.8688056418
4,list_by_type_3,13,0.006344479237725964,1352684.6850881004
4,list_by_type_10,14,0.005792545950726646,1173897.9441598584
4,list_by_type_16,15,0.0032353961144486743,885351.0860501906
4,list_by_type_6,16,0.002970417948647275,1929447.6186658526
4,list_by_type_4,17,0.0027233431998487934,2.7624985457506708
4,list_by_type_2,18,0.0014565478985388847,2.8604205709951556
5,list_by_type_7,1,0.7155877477233333,3179352.95656502
5,list_by_type_7,2,0.7155877477233333,3179352.95656502
5,list_by_type_8,3,0.6910742305838256,3292826.1260206876
5,list_by_type_4,4,0.6414698340636489,1.1997589844311212
5,list_by_type_2,5,0.626980010738579,0.9671086985168768
5,list_by_type_5,6,0.6259379325541908,781023.4243578557
5,list_by_type_18,7,0.6097238266419174,75647.58226173041
5,list_by_type_14,8,0.6049919491026037,0.7511279111988041
5,list_by_type_17,9,0.6030617626047274,107562.80124675161
5,list_by_type_12,10,0.5937929182114502,124854.92113129729
5,list_by_type_13,11,0.5937929182114502,124854.92113129729
5,list_by_type_11,12,0.5937253529222328,122302.91126834402
5,list_by_type_10,13,0.5894438708438858,78179.72354748835
5,list_by_type_1,14,0.5868910509431888,111555.80887996935
5,list_by_type_6,15,0.5836121840275014,716216.8166428984
5,list_by_type_9,16,0.5338888458804985,641223.2544298097
5,list_by_type_16,17,0.5137151650750054,34955.660927406025
5,list_by_type_3,18,0.4347208241261248,82911.2512447819
6,list_by_type_18,1,0.07969628326111533,816030.5081972184
6,list_by_type_17,2,0.07618264273357189,1332406.6553618466
6,list_by_type_5,3,0.05178593859469993,9994064.698702319
6,list_by_type_7,4,0.027321847563542723,11121718.80786114
6,list_by_type_7,5,0.027321847563542723,11121718.80786114
6,list_by_type_8,6,0.02222008765735828,11405197.110372305
6,list_by_type_14,7,0.01382856747842931,15.358244172585714
6,list_by_type_1,8,0.013639707255398648,1796381.3669814488
6,list_by_type_12,9,0.011047401459809758,1678147.239954907
6,list_by_type_13,10,0.011047401459809758,1678147.239954907
6,list_by_type_9,11,0.010922711939864493,4982589.834491559
6,list_by_type_11,12,0.010399449614600154,1619560.4534953653
6,list_by_type_10,13,0.007938517748758533,1398426.0878302332
6,list_by_type_3,14,0.00705017681557063,1352794.7415378354
6,list_by_type_2,15,0.005141400796672468,9.691296833662436
6,list_by_type_4,16,0.0049119736581828555,7.6618420012064385
6,list_by_type_16,17,0.004758490132472648,1034843.0750735692
6,list_by_type_6,18,0.003230096632973467,2496001.156462833
7,list_by_type_8,1,0.8308087121318817,54.48277998041776
7,list_by_type_7,2,0.8225223965960711,42.498218994350545
7,list_by_type_7,3,0.8225223965960711,42.498218994350545
7,list_by_type_6,4,0.7718937708632211,11.356535087815017
7,list_by_type_4,5,0.7700523802925987,1.4741996808850567e-05
7,list_by_type_2,6,0.7696556419123509,1.4488815298055619e-05
7,list_by_type_14,7,0.7639130110865314,1.4062254808745613e-05
7,list_by_type_5,8,0.7606266598712375,9.792123123807166
7,list_by_type_18,9,0.7573867287974966,1.4359604751231065
7,list_by_type_10,10,0.7422966062094496,1.4453511092158102
7,list_by_type_17,11,0.7410912861940406,1.9843443661931086
7,list_by_type_11,12,0.7334967344206675,2.1623857622469687
7,list_by_type_12,13,0.7331857485819551,2.1946012411874247
7,list_by_type_13,14,0.7331857485819551,2.1946012411874247
7,list_by_type_1,15,0.729427386227652,2.010492240086053
7,list_by_type_9,16,0.7223376958318969,11.096884103020509
7,list_by_type_16,17,0.7085595192323786,0.7230574126269518
7,list_by_type_3,18,0.6424372760864174,2.2733832477671347
8,list_by_type_8,1,0.8304289836411509,41.630611374577455
8,list_by_type_7,2,0.8165109058141933,30.562747202733515
8,list_by_type_7,3,0.8165109058141933,30.562747202733515
8,list_by_type_6,4,0.7757281447766594,8.831077869537825
8,list_by_type_14,5,0.7653628586199753,1.1011234019947338e-05
8,list_by_type_18,6,0.7560860243994842,1.0987697087521082
8,list_by_type_2,7,0.7489658903906806,9.937341828255151e-06
8,list_by_type_10,8,0.7424553290165965,1.1048471686534747
8,list_by_type_4,9,0.740791346036878,9.954485558330214e-06
8,list_by_type_17,10,0.739864175838083,1.4769565853751485
8,list_by_type_11,11,0.7329747265002995,1.5834013916941845
8,list_by_type_12,12,0.7324555976746686,1.6304429043187676
8,list_by_type_13,13,0.7324555976746686,1.6304429043187676
8,list_by_type_5,14,0.7305193802509807,6.44671631575154
8,list_by_type_1,15,0.729571310371124,1.4967502987929635
8,list_by_type_9,16,0.7269475969336507,8.625220904363204
8,list_by_type_16,17,0.7148724750878213,0.5818797378539268
8,list_by_type_3,18,0.6508733708959342,1.7836721073029316
9,list_by_type_16,1,0.16954937014030924,142367.54496221297
9,list_by_type_18,2,0.14612679336246504,132895.08113127667
9,list_by_type_10,3,0.13387889578274137,142299.67143188362
9,list_by_type_14,4,0.12336509689994868,1.1854481857137378
9,list_by_type_17,5,0.12260829033655396,115862.75576984404
9,list_by_type_12,6,0.11718959858234457,138379.59199364757
9,list_by_type_13,7,0.11718959858234457,138379.59199364757
9,list_by_type_11,8,0.11642849970489855,137515.42208947858
9,list_by_type_1,9,0.10555279528169137,128776.76843645793
9,list_by_type_9,10,0.08743824437843983,609367.4594197416
9,list_by_type_7,11,0.07212150583206212,1264730.7260486328
9,list_by_type_7,12,0.07212150583206212,1264730.7260486328
