sm_type,role_k1000_v3_num
out_of_50_classes_elastic_total_compensa,77
out_of_50_classes_elastic_total_compensa,78
out_of_50_classes_elastic_total_compensa,79
out_of_50_classes_elastic_total_compensa,80
out_of_50_classes_elastic_total_compensa,81
out_of_50_classes_elastic_total_compensa,82
out_of_50_classes_elastic_total_compensa,83
out_of_50_classes_elastic_total_compensa,84
out_of_50_classes_elastic_total_compensa,85
out_of_50_classes_elastic_total_compensa,86
out_of_50_classes_elastic_total_compensa,87
out_of_50_classes_elastic_total_compensa,88
out_of_50_classes_elastic_total_compensa,112
out_of_50_classes_elastic_total_compensa,113
out_of_50_classes_elastic_total_compensa,114
out_of_50_classes_elastic_total_compensa,115
out_of_50_classes_elastic_total_compensa,116
out_of_50_classes_elastic_total_compensa,117
out_of_50_classes_elastic_total_compensa,118
out_of_50_classes_elastic_total_compensa,119
out_of_50_classes_elastic_total_compensa,120
out_of_50_classes_elastic_total_compensa,121
out_of_50_classes_elastic_total_compensa,122
out_of_50_classes_elastic_total_compensa,123
out_of_50_classes_elastic_total_compensa,124
out_of_50_classes_elastic_total_compensa,125
out_of_50_classes_elastic_total_compensa,126
out_of_50_classes_elastic_total_compensa,127
out_of_50_classes_elastic_total_compensa,128
out_of_50_classes_elastic_total_compensa,129
out_of_50_classes_elastic_total_compensa,130
out_of_50_classes_elastic_total_compensa,131
out_of_50_classes_elastic_total_compensa,132
out_of_50_classes_elastic_total_compensa,133
out_of_50_classes_elastic_total_compensa,134
out_of_50_classes_elastic_total_compensa,135
out_of_50_classes_elastic_total_compensa,136
out_of_50_classes_elastic_total_compensa,137
out_of_50_classes_elastic_total_compensa,138
out_of_50_classes_elastic_total_compensa,139
out_of_50_classes_elastic_total_compensa,140
out_of_50_classes_elastic_total_compensa,141
out_of_50_classes_elastic_total_compensa,142
out_of_50_classes_elastic_total_compensa,328
out_of_50_classes_elastic_total_compensa,329
out_of_50_classes_elastic_total_compensa,330
out_of_50_classes_elastic_total_compensa,331
out_of_50_classes_elastic_total_compensa,332
out_of_50_classes_elastic_total_compensa,333
out_of_50_classes_elastic_total_compensa,334
out_of_50_classes_elastic_total_compensa,335
out_of_50_classes_elastic_total_compensa,336
out_of_50_classes_elastic_total_compensa,337
out_of_50_classes_elastic_total_compensa,413
out_of_50_classes_elastic_total_compensa,414
out_of_50_classes_elastic_total_compensa,415
out_of_50_classes_elastic_total_compensa,416
out_of_50_classes_elastic_total_compensa,417
out_of_50_classes_elastic_total_compensa,418
out_of_50_classes_elastic_total_compensa,419
out_of_50_classes_elastic_total_compensa,420
out_of_50_classes_elastic_total_compensa,421
out_of_50_classes_elastic_total_compensa,422
out_of_50_classes_elastic_total_compensa,423
out_of_50_classes_elastic_total_compensa,442
out_of_50_classes_elastic_total_compensa,443
out_of_50_classes_elastic_total_compensa,444
out_of_50_classes_elastic_total_compensa,445
out_of_50_classes_elastic_total_compensa,446
out_of_50_classes_elastic_total_compensa,447
out_of_50_classes_elastic_total_compensa,448
out_of_50_classes_elastic_total_compensa,449
out_of_50_classes_elastic_total_compensa,450
out_of_50_classes_elastic_total_compensa,451
out_of_50_classes_elastic_total_compensa,452
out_of_50_classes_elastic_total_compensa,476
out_of_50_classes_elastic_total_compensa,477
out_of_50_classes_elastic_total_compensa,478
out_of_50_classes_elastic_total_compensa,479
out_of_50_classes_elastic_total_compensa,480
out_of_50_classes_elastic_total_compensa,481
out_of_50_classes_elastic_total_compensa,482
out_of_50_classes_elastic_total_compensa,483
out_of_50_classes_elastic_total_compensa,484
out_of_50_classes_elastic_total_compensa,485
out_of_50_classes_elastic_total_compensa,486
out_of_50_classes_elastic_total_compensa,487
out_of_50_classes_elastic_total_compensa,488
out_of_50_classes_elastic_total_compensa,489
out_of_50_classes_elastic_total_compensa,490
out_of_50_classes_elastic_total_compensa,491
out_of_50_classes_elastic_total_compensa,492
out_of_50_classes_elastic_total_compensa,493
out_of_50_classes_elastic_total_compensa,494
out_of_50_classes_elastic_total_compensa,495
out_of_50_classes_elastic_total_compensa,496
out_of_50_classes_elastic_total_compensa,497
out_of_50_classes_elastic_total_compensa,498
out_of_50_classes_elastic_total_compensa,499
out_of_50_classes_elastic_total_compensa,500
out_of_50_classes_elastic_total_compensa,501
out_of_50_classes_elastic_total_compensa,502
out_of_50_classes_elastic_total_compensa,503
out_of_50_classes_elastic_total_compensa,504
out_of_50_classes_elastic_total_compensa,505
out_of_50_classes_elastic_total_compensa,651
out_of_50_classes_elastic_total_compensa,652
out_of_50_classes_elastic_total_compensa,653
out_of_50_classes_elastic_total_compensa,654
out_of_50_classes_elastic_total_compensa,655
out_of_50_classes_elastic_total_compensa,656
out_of_50_classes_elastic_total_compensa,657
out_of_50_classes_elastic_total_compensa,658
out_of_50_classes_elastic_total_compensa,659
out_of_50_classes_elastic_total_compensa,660
out_of_50_classes_elastic_total_compensa,661
out_of_50_classes_elastic_total_compensa,662
out_of_50_classes_elastic_total_compensa,663
out_of_50_classes_elastic_total_compensa,664
out_of_50_classes_elastic_total_compensa,665
out_of_50_classes_elastic_total_compensa,666
out_of_50_classes_elastic_total_compensa,667
out_of_50_classes_elastic_total_compensa,668
out_of_50_classes_elastic_total_compensa,669
out_of_50_classes_elastic_total_compensa,670
out_of_50_classes_elastic_total_compensa,671
out_of_50_classes_elastic_total_compensa,672
out_of_50_classes_elastic_total_compensa,673
out_of_50_classes_elastic_total_compensa,674
out_of_50_classes_elastic_total_compensa,675
out_of_50_classes_elastic_total_compensa,676
out_of_50_classes_elastic_total_compensa,677
out_of_50_classes_elastic_total_compensa,678
out_of_50_classes_elastic_total_compensa,679
out_of_50_classes_elastic_total_compensa,680
out_of_50_classes_elastic_total_compensa,681
out_of_50_classes_elastic_total_compensa,682
out_of_50_classes_elastic_total_compensa,683
out_of_50_classes_elastic_total_compensa,684
out_of_50_classes_elastic_total_compensa,685
out_of_50_classes_elastic_total_compensa,686
out_of_50_classes_elastic_total_compensa,687
out_of_50_classes_elastic_total_compensa,688
out_of_50_classes_elastic_total_compensa,695
out_of_50_classes_elastic_total_compensa,696
out_of_50_classes_elastic_total_compensa,697
out_of_50_classes_elastic_total_compensa,698
out_of_50_classes_elastic_total_compensa,699
out_of_50_classes_elastic_total_compensa,700
out_of_50_classes_elastic_total_compensa,701
out_of_50_classes_elastic_total_compensa,702
out_of_50_classes_elastic_total_compensa,703
