sm_type,role_k1000_v3_num
out_of_50_classes_elastic_weight,328
out_of_50_classes_elastic_weight,329
out_of_50_classes_elastic_weight,330
out_of_50_classes_elastic_weight,331
out_of_50_classes_elastic_weight,332
out_of_50_classes_elastic_weight,333
out_of_50_classes_elastic_weight,334
out_of_50_classes_elastic_weight,335
out_of_50_classes_elastic_weight,336
out_of_50_classes_elastic_weight,337
out_of_50_classes_elastic_weight,413
out_of_50_classes_elastic_weight,414
out_of_50_classes_elastic_weight,415
out_of_50_classes_elastic_weight,416
out_of_50_classes_elastic_weight,417
out_of_50_classes_elastic_weight,418
out_of_50_classes_elastic_weight,419
out_of_50_classes_elastic_weight,420
out_of_50_classes_elastic_weight,421
out_of_50_classes_elastic_weight,422
out_of_50_classes_elastic_weight,423
out_of_50_classes_elastic_weight,442
out_of_50_classes_elastic_weight,443
out_of_50_classes_elastic_weight,444
out_of_50_classes_elastic_weight,445
out_of_50_classes_elastic_weight,446
out_of_50_classes_elastic_weight,447
out_of_50_classes_elastic_weight,448
out_of_50_classes_elastic_weight,449
out_of_50_classes_elastic_weight,450
out_of_50_classes_elastic_weight,451
out_of_50_classes_elastic_weight,452
out_of_50_classes_elastic_weight,633
out_of_50_classes_elastic_weight,634
out_of_50_classes_elastic_weight,635
out_of_50_classes_elastic_weight,636
out_of_50_classes_elastic_weight,637
out_of_50_classes_elastic_weight,638
out_of_50_classes_elastic_weight,639
out_of_50_classes_elastic_weight,640
out_of_50_classes_elastic_weight,641
out_of_50_classes_elastic_weight,642
out_of_50_classes_elastic_weight,643
out_of_50_classes_elastic_weight,644
out_of_50_classes_elastic_weight,645
out_of_50_classes_elastic_weight,646
out_of_50_classes_elastic_weight,647
out_of_50_classes_elastic_weight,648
out_of_50_classes_elastic_weight,649
out_of_50_classes_elastic_weight,650
out_of_50_classes_elastic_weight,651
out_of_50_classes_elastic_weight,652
out_of_50_classes_elastic_weight,653
out_of_50_classes_elastic_weight,654
out_of_50_classes_elastic_weight,655
out_of_50_classes_elastic_weight,656
out_of_50_classes_elastic_weight,657
out_of_50_classes_elastic_weight,658
out_of_50_classes_elastic_weight,695
out_of_50_classes_elastic_weight,696
out_of_50_classes_elastic_weight,697
out_of_50_classes_elastic_weight,698
out_of_50_classes_elastic_weight,699
out_of_50_classes_elastic_weight,700
out_of_50_classes_elastic_weight,701
out_of_50_classes_elastic_weight,702
out_of_50_classes_elastic_weight,703
out_of_50_classes_elastic_weight,704
out_of_50_classes_elastic_weight,705
out_of_50_classes_elastic_weight,706
out_of_50_classes_elastic_weight,707
out_of_50_classes_elastic_weight,708
out_of_50_classes_elastic_weight,709
out_of_50_classes_elastic_weight,710
out_of_50_classes_elastic_weight,711
out_of_50_classes_elastic_weight,712
out_of_50_classes_elastic_weight,713
out_of_50_classes_elastic_weight,714
out_of_50_classes_elastic_weight,715
out_of_50_classes_elastic_weight,716
out_of_50_classes_elastic_weight,717
out_of_50_classes_elastic_weight,718
out_of_50_classes_elastic_weight,719
out_of_50_classes_elastic_weight,720
out_of_50_classes_elastic_weight,721
out_of_50_classes_elastic_weight,722
