role_k1000_v3,role_k1000_v3_num,x_2d,y_2d
Banking Product Manager,145,1.5991901,4.6214647
Client Support Advisor,146,6.4079804,5.158342
Credit Analyst,147,4.0289946,3.44414
Credit Risk Analyst,148,3.834859,3.473822
Digital Finance Trader,149,3.3919218,3.9605148
Due Diligence Analyst,150,3.8763552,3.5119689
ESG Finance Analyst,151,3.898352,3.2815819
Energy Trader,152,3.3787088,3.979846
Financial Advisor,153,5.345675,2.978429
Financial Product Analyst,154,3.9499984,3.7256157
Financial Recruiter,155,6.1167936,1.430588
Financial Valuation Analyst,156,4.140339,3.5163043
Investment Advisor,157,5.3017216,3.0169966
Investment Trader,158,3.4814875,3.9067502
Investor Relations,159,4.150023,3.4576762
Loan Officer,160,5.4303193,2.775635
M&A Analyst,161,4.131938,3.7784793
Notary Agent,162,4.7464886,2.530018
Payment Operations,163,6.9823794,5.7625566
Trader,164,3.438164,3.9197001
Treasury Analyst,165,4.1624365,3.4802039
Trust Officer,166,4.980776,2.758658
Benefits Coordinator,167,5.95351,1.991598
Claims Adjuster,168,4.296236,2.4294357
Claims Processor,169,4.2894654,2.280125
Compensation and Benefits,170,5.9206047,1.8589776
Insurance Broker,171,5.3353434,3.2480695
Insurance Manager,172,5.148405,3.4371436
Insurance Specialist,173,5.09111,3.306216
Insurance Underwriter,174,4.71231,3.186065
Pension Administrator,175,5.240176,2.4689674
Auditor,176,3.8112426,2.8919399
Complaint Resolution,177,3.4849524,2.4107037
Compliance Officer,178,3.3052042,2.6883583
ESG Auditor,179,3.8889587,2.9932437
Ethics Compliance Officer,180,3.2689254,2.5192173
Financial Examiner,181,4.294394,2.914098
Fraud Investigator,182,3.4248364,2.5157123
Market Surveillance Analyst,183,3.5690398,4.141333
Regulatory Affairs,184,3.3143077,2.8428156
Risk Analyst,185,3.372437,3.3921134
Trade Compliance,186,6.2760596,3.171225
Attorney,187,3.40392,2.035554
Compliance Counsel,188,3.3454552,2.1272812
Corporate Counsel,189,3.3418727,2.0506358
Document Examiner,190,4.4051347,1.7138158
Employment Lawyer,191,3.5326355,1.9213245
Intellectual Property Attorney,192,3.400506,2.0047383
Licensing Officer,193,3.5296566,2.123115
Paralegal,194,3.43565,2.073944
Privacy Counsel,195,3.1714914,2.2291825
Real Estate Lawyer,196,3.4911602,2.0261216
Acquisition Integration Analyst,197,4.0120015,4.038537
Actuary,198,3.6687539,3.7248442
Business Performance Analyst,199,3.7379515,5.06169
Compensation Analyst,200,3.9502635,4.45884
Contract Analyst,201,4.0826907,4.2120175
Economist,202,3.6363504,3.8207884
