sm_type,role_k1000_v3_num
weight_k1000_correlated_w_sm,633
weight_k1000_correlated_w_sm,634
weight_k1000_correlated_w_sm,635
weight_k1000_correlated_w_sm,636
weight_k1000_correlated_w_sm,638
weight_k1000_correlated_w_sm,639
weight_k1000_correlated_w_sm,640
weight_k1000_correlated_w_sm,641
weight_k1000_correlated_w_sm,642
weight_k1000_correlated_w_sm,643
weight_k1000_correlated_w_sm,644
weight_k1000_correlated_w_sm,645
weight_k1000_correlated_w_sm,647
weight_k1000_correlated_w_sm,648
weight_k1000_correlated_w_sm,651
weight_k1000_correlated_w_sm,652
weight_k1000_correlated_w_sm,653
weight_k1000_correlated_w_sm,654
weight_k1000_correlated_w_sm,657
weight_k1000_correlated_w_sm,658
weight_k1000_correlated_w_sm,659
weight_k1000_correlated_w_sm,660
weight_k1000_correlated_w_sm,661
weight_k1000_correlated_w_sm,662
weight_k1000_correlated_w_sm,663
weight_k1000_correlated_w_sm,664
weight_k1000_correlated_w_sm,665
weight_k1000_correlated_w_sm,666
weight_k1000_correlated_w_sm,667
weight_k1000_correlated_w_sm,668
weight_k1000_correlated_w_sm,669
weight_k1000_correlated_w_sm,671
weight_k1000_correlated_w_sm,672
weight_k1000_correlated_w_sm,673
weight_k1000_correlated_w_sm,674
weight_k1000_correlated_w_sm,675
weight_k1000_correlated_w_sm,676
weight_k1000_correlated_w_sm,677
weight_k1000_correlated_w_sm,678
weight_k1000_correlated_w_sm,679
weight_k1000_correlated_w_sm,680
weight_k1000_correlated_w_sm,681
weight_k1000_correlated_w_sm,682
weight_k1000_correlated_w_sm,683
weight_k1000_correlated_w_sm,684
weight_k1000_correlated_w_sm,685
weight_k1000_correlated_w_sm,686
weight_k1000_correlated_w_sm,687
weight_k1000_correlated_w_sm,688
weight_k1000_correlated_w_sm,689
weight_k1000_correlated_w_sm,691
weight_k1000_correlated_w_sm,692
weight_k1000_correlated_w_sm,693
weight_k1000_correlated_w_sm,694
weight_k1000_correlated_w_sm,699
weight_k1000_correlated_w_sm,700
weight_k1000_correlated_w_sm,701
weight_k1000_correlated_w_sm,702
weight_k1000_correlated_w_sm,704
weight_k1000_correlated_w_sm,705
weight_k1000_correlated_w_sm,706
weight_k1000_correlated_w_sm,707
weight_k1000_correlated_w_sm,708
weight_k1000_correlated_w_sm,709
weight_k1000_correlated_w_sm,710
weight_k1000_correlated_w_sm,713
weight_k1000_correlated_w_sm,714
weight_k1000_correlated_w_sm,715
weight_k1000_correlated_w_sm,716
weight_k1000_correlated_w_sm,717
weight_k1000_correlated_w_sm,718
weight_k1000_correlated_w_sm,719
weight_k1000_correlated_w_sm,720
weight_k1000_correlated_w_sm,721
weight_k1000_correlated_w_sm,722
weight_k1000_correlated_w_sm,723
weight_k1000_correlated_w_sm,724
weight_k1000_correlated_w_sm,726
weight_k1000_correlated_w_sm,728
weight_k1000_correlated_w_sm,729
weight_k1000_correlated_w_sm,730
weight_k1000_correlated_w_sm,732
weight_k1000_correlated_w_sm,735
weight_k1000_correlated_w_sm,736
weight_k1000_correlated_w_sm,738
weight_k1000_correlated_w_sm,740
