sm_type,role_k1000_v3_num
selected_vars_predict_salary_w_count_50,167
selected_vars_predict_salary_w_count_50,168
selected_vars_predict_salary_w_count_50,169
selected_vars_predict_salary_w_count_50,170
selected_vars_predict_salary_w_count_50,171
selected_vars_predict_salary_w_count_50,172
selected_vars_predict_salary_w_count_50,173
selected_vars_predict_salary_w_count_50,174
selected_vars_predict_salary_w_count_50,175
selected_vars_predict_salary_w_count_50,413
selected_vars_predict_salary_w_count_50,414
selected_vars_predict_salary_w_count_50,415
selected_vars_predict_salary_w_count_50,416
selected_vars_predict_salary_w_count_50,417
selected_vars_predict_salary_w_count_50,418
selected_vars_predict_salary_w_count_50,419
selected_vars_predict_salary_w_count_50,420
selected_vars_predict_salary_w_count_50,421
selected_vars_predict_salary_w_count_50,422
selected_vars_predict_salary_w_count_50,423
selected_vars_predict_salary_w_count_50,557
selected_vars_predict_salary_w_count_50,633
selected_vars_predict_salary_w_count_50,634
selected_vars_predict_salary_w_count_50,635
selected_vars_predict_salary_w_count_50,636
selected_vars_predict_salary_w_count_50,637
selected_vars_predict_salary_w_count_50,638
selected_vars_predict_salary_w_count_50,639
selected_vars_predict_salary_w_count_50,640
selected_vars_predict_salary_w_count_50,641
selected_vars_predict_salary_w_count_50,642
selected_vars_predict_salary_w_count_50,643
selected_vars_predict_salary_w_count_50,644
selected_vars_predict_salary_w_count_50,645
selected_vars_predict_salary_w_count_50,646
selected_vars_predict_salary_w_count_50,647
selected_vars_predict_salary_w_count_50,648
selected_vars_predict_salary_w_count_50,649
selected_vars_predict_salary_w_count_50,650
selected_vars_predict_salary_w_count_50,840
selected_vars_predict_salary_w_count_50,841
selected_vars_predict_salary_w_count_50,842
selected_vars_predict_salary_w_count_50,843
selected_vars_predict_salary_w_count_50,844
selected_vars_predict_salary_w_count_50,845
selected_vars_predict_salary_w_count_50,846
selected_vars_predict_salary_w_count_50,847
selected_vars_predict_salary_w_count_50,848
selected_vars_predict_salary_w_count_50,849
selected_vars_predict_salary_w_count_50,850
selected_vars_predict_salary_w_count_50,851
selected_vars_predict_salary_w_count_50,852
selected_vars_predict_salary_w_count_50,853
