sm_type,role_k1000_v3_num
selected_vars_predict_salary_w_compensat,10
selected_vars_predict_salary_w_compensat,33
selected_vars_predict_salary_w_compensat,37
selected_vars_predict_salary_w_compensat,91
selected_vars_predict_salary_w_compensat,116
selected_vars_predict_salary_w_compensat,130
selected_vars_predict_salary_w_compensat,142
selected_vars_predict_salary_w_compensat,174
selected_vars_predict_salary_w_compensat,180
selected_vars_predict_salary_w_compensat,218
selected_vars_predict_salary_w_compensat,239
selected_vars_predict_salary_w_compensat,244
selected_vars_predict_salary_w_compensat,263
selected_vars_predict_salary_w_compensat,271
selected_vars_predict_salary_w_compensat,280
selected_vars_predict_salary_w_compensat,292
selected_vars_predict_salary_w_compensat,301
selected_vars_predict_salary_w_compensat,304
selected_vars_predict_salary_w_compensat,305
selected_vars_predict_salary_w_compensat,311
selected_vars_predict_salary_w_compensat,312
selected_vars_predict_salary_w_compensat,315
selected_vars_predict_salary_w_compensat,317
selected_vars_predict_salary_w_compensat,322
selected_vars_predict_salary_w_compensat,329
selected_vars_predict_salary_w_compensat,330
selected_vars_predict_salary_w_compensat,336
selected_vars_predict_salary_w_compensat,337
selected_vars_predict_salary_w_compensat,386
selected_vars_predict_salary_w_compensat,417
selected_vars_predict_salary_w_compensat,432
selected_vars_predict_salary_w_compensat,441
selected_vars_predict_salary_w_compensat,442
selected_vars_predict_salary_w_compensat,448
selected_vars_predict_salary_w_compensat,506
selected_vars_predict_salary_w_compensat,514
selected_vars_predict_salary_w_compensat,515
selected_vars_predict_salary_w_compensat,528
selected_vars_predict_salary_w_compensat,556
selected_vars_predict_salary_w_compensat,557
selected_vars_predict_salary_w_compensat,612
selected_vars_predict_salary_w_compensat,618
selected_vars_predict_salary_w_compensat,624
selected_vars_predict_salary_w_compensat,626
selected_vars_predict_salary_w_compensat,627
selected_vars_predict_salary_w_compensat,630
selected_vars_predict_salary_w_compensat,633
selected_vars_predict_salary_w_compensat,638
selected_vars_predict_salary_w_compensat,649
selected_vars_predict_salary_w_compensat,654
selected_vars_predict_salary_w_compensat,661
selected_vars_predict_salary_w_compensat,671
selected_vars_predict_salary_w_compensat,672
selected_vars_predict_salary_w_compensat,674
selected_vars_predict_salary_w_compensat,682
selected_vars_predict_salary_w_compensat,683
selected_vars_predict_salary_w_compensat,695
selected_vars_predict_salary_w_compensat,702
selected_vars_predict_salary_w_compensat,705
selected_vars_predict_salary_w_compensat,708
selected_vars_predict_salary_w_compensat,724
selected_vars_predict_salary_w_compensat,736
selected_vars_predict_salary_w_compensat,740
selected_vars_predict_salary_w_compensat,755
selected_vars_predict_salary_w_compensat,773
selected_vars_predict_salary_w_compensat,790
selected_vars_predict_salary_w_compensat,812
selected_vars_predict_salary_w_compensat,829
selected_vars_predict_salary_w_compensat,848
selected_vars_predict_salary_w_compensat,849
selected_vars_predict_salary_w_compensat,866
selected_vars_predict_salary_w_compensat,880
selected_vars_predict_salary_w_compensat,963
selected_vars_predict_salary_w_compensat,964
