sm_type,role_k1000_v3_num
selected_vars_predict_salary_w_compensat,167
selected_vars_predict_salary_w_compensat,168
selected_vars_predict_salary_w_compensat,169
selected_vars_predict_salary_w_compensat,170
selected_vars_predict_salary_w_compensat,171
selected_vars_predict_salary_w_compensat,172
selected_vars_predict_salary_w_compensat,173
selected_vars_predict_salary_w_compensat,174
selected_vars_predict_salary_w_compensat,175
selected_vars_predict_salary_w_compensat,328
selected_vars_predict_salary_w_compensat,329
selected_vars_predict_salary_w_compensat,330
selected_vars_predict_salary_w_compensat,331
selected_vars_predict_salary_w_compensat,332
selected_vars_predict_salary_w_compensat,333
selected_vars_predict_salary_w_compensat,334
selected_vars_predict_salary_w_compensat,335
selected_vars_predict_salary_w_compensat,336
selected_vars_predict_salary_w_compensat,337
selected_vars_predict_salary_w_compensat,338
selected_vars_predict_salary_w_compensat,339
selected_vars_predict_salary_w_compensat,340
selected_vars_predict_salary_w_compensat,341
selected_vars_predict_salary_w_compensat,342
selected_vars_predict_salary_w_compensat,343
selected_vars_predict_salary_w_compensat,344
selected_vars_predict_salary_w_compensat,413
selected_vars_predict_salary_w_compensat,414
selected_vars_predict_salary_w_compensat,415
selected_vars_predict_salary_w_compensat,416
selected_vars_predict_salary_w_compensat,417
selected_vars_predict_salary_w_compensat,418
selected_vars_predict_salary_w_compensat,419
selected_vars_predict_salary_w_compensat,420
selected_vars_predict_salary_w_compensat,421
selected_vars_predict_salary_w_compensat,422
selected_vars_predict_salary_w_compensat,423
selected_vars_predict_salary_w_compensat,442
selected_vars_predict_salary_w_compensat,443
selected_vars_predict_salary_w_compensat,444
selected_vars_predict_salary_w_compensat,445
selected_vars_predict_salary_w_compensat,446
selected_vars_predict_salary_w_compensat,447
selected_vars_predict_salary_w_compensat,448
selected_vars_predict_salary_w_compensat,449
selected_vars_predict_salary_w_compensat,450
selected_vars_predict_salary_w_compensat,451
selected_vars_predict_salary_w_compensat,452
selected_vars_predict_salary_w_compensat,557
selected_vars_predict_salary_w_compensat,659
selected_vars_predict_salary_w_compensat,660
selected_vars_predict_salary_w_compensat,661
selected_vars_predict_salary_w_compensat,662
selected_vars_predict_salary_w_compensat,663
selected_vars_predict_salary_w_compensat,664
selected_vars_predict_salary_w_compensat,665
selected_vars_predict_salary_w_compensat,666
selected_vars_predict_salary_w_compensat,667
selected_vars_predict_salary_w_compensat,668
selected_vars_predict_salary_w_compensat,669
selected_vars_predict_salary_w_compensat,670
selected_vars_predict_salary_w_compensat,671
selected_vars_predict_salary_w_compensat,672
selected_vars_predict_salary_w_compensat,673
selected_vars_predict_salary_w_compensat,674
selected_vars_predict_salary_w_compensat,675
selected_vars_predict_salary_w_compensat,676
selected_vars_predict_salary_w_compensat,677
selected_vars_predict_salary_w_compensat,678
selected_vars_predict_salary_w_compensat,679
selected_vars_predict_salary_w_compensat,680
selected_vars_predict_salary_w_compensat,681
selected_vars_predict_salary_w_compensat,682
selected_vars_predict_salary_w_compensat,683
selected_vars_predict_salary_w_compensat,684
selected_vars_predict_salary_w_compensat,685
selected_vars_predict_salary_w_compensat,686
selected_vars_predict_salary_w_compensat,687
selected_vars_predict_salary_w_compensat,688
selected_vars_predict_salary_w_compensat,840
selected_vars_predict_salary_w_compensat,841
selected_vars_predict_salary_w_compensat,842
selected_vars_predict_salary_w_compensat,843
selected_vars_predict_salary_w_compensat,844
selected_vars_predict_salary_w_compensat,845
selected_vars_predict_salary_w_compensat,846
selected_vars_predict_salary_w_compensat,847
selected_vars_predict_salary_w_compensat,848
selected_vars_predict_salary_w_compensat,849
selected_vars_predict_salary_w_compensat,850
selected_vars_predict_salary_w_compensat,851
selected_vars_predict_salary_w_compensat,852
selected_vars_predict_salary_w_compensat,853
