sm_type,role_k1000_v3_num
selected_vars_gbrl_peremp_salary_1000,21
selected_vars_gbrl_peremp_salary_1000,159
selected_vars_gbrl_peremp_salary_1000,193
selected_vars_gbrl_peremp_salary_1000,206
selected_vars_gbrl_peremp_salary_1000,209
selected_vars_gbrl_peremp_salary_1000,215
selected_vars_gbrl_peremp_salary_1000,325
selected_vars_gbrl_peremp_salary_1000,368
selected_vars_gbrl_peremp_salary_1000,377
selected_vars_gbrl_peremp_salary_1000,393
selected_vars_gbrl_peremp_salary_1000,417
selected_vars_gbrl_peremp_salary_1000,448
selected_vars_gbrl_peremp_salary_1000,479
selected_vars_gbrl_peremp_salary_1000,511
selected_vars_gbrl_peremp_salary_1000,548
selected_vars_gbrl_peremp_salary_1000,577
selected_vars_gbrl_peremp_salary_1000,641
selected_vars_gbrl_peremp_salary_1000,645
selected_vars_gbrl_peremp_salary_1000,652
selected_vars_gbrl_peremp_salary_1000,654
selected_vars_gbrl_peremp_salary_1000,659
selected_vars_gbrl_peremp_salary_1000,666
selected_vars_gbrl_peremp_salary_1000,667
selected_vars_gbrl_peremp_salary_1000,673
selected_vars_gbrl_peremp_salary_1000,674
selected_vars_gbrl_peremp_salary_1000,678
selected_vars_gbrl_peremp_salary_1000,682
selected_vars_gbrl_peremp_salary_1000,683
selected_vars_gbrl_peremp_salary_1000,685
selected_vars_gbrl_peremp_salary_1000,687
selected_vars_gbrl_peremp_salary_1000,688
selected_vars_gbrl_peremp_salary_1000,693
selected_vars_gbrl_peremp_salary_1000,700
selected_vars_gbrl_peremp_salary_1000,702
selected_vars_gbrl_peremp_salary_1000,705
selected_vars_gbrl_peremp_salary_1000,707
selected_vars_gbrl_peremp_salary_1000,710
selected_vars_gbrl_peremp_salary_1000,711
selected_vars_gbrl_peremp_salary_1000,713
selected_vars_gbrl_peremp_salary_1000,716
selected_vars_gbrl_peremp_salary_1000,720
selected_vars_gbrl_peremp_salary_1000,725
selected_vars_gbrl_peremp_salary_1000,730
selected_vars_gbrl_peremp_salary_1000,735
selected_vars_gbrl_peremp_salary_1000,740
selected_vars_gbrl_peremp_salary_1000,745
selected_vars_gbrl_peremp_salary_1000,766
selected_vars_gbrl_peremp_salary_1000,775
selected_vars_gbrl_peremp_salary_1000,791
selected_vars_gbrl_peremp_salary_1000,805
selected_vars_gbrl_peremp_salary_1000,806
selected_vars_gbrl_peremp_salary_1000,808
selected_vars_gbrl_peremp_salary_1000,811
selected_vars_gbrl_peremp_salary_1000,812
selected_vars_gbrl_peremp_salary_1000,864
selected_vars_gbrl_peremp_salary_1000,875
selected_vars_gbrl_peremp_salary_1000,879
selected_vars_gbrl_peremp_salary_1000,897
selected_vars_gbrl_peremp_salary_1000,911
