sm_type,role_k1000_v3_num
8th_out_of_10_classes,633
8th_out_of_10_classes,634
8th_out_of_10_classes,635
8th_out_of_10_classes,636
8th_out_of_10_classes,637
8th_out_of_10_classes,638
8th_out_of_10_classes,639
8th_out_of_10_classes,640
8th_out_of_10_classes,641
8th_out_of_10_classes,642
8th_out_of_10_classes,643
8th_out_of_10_classes,644
8th_out_of_10_classes,645
8th_out_of_10_classes,646
8th_out_of_10_classes,647
8th_out_of_10_classes,648
8th_out_of_10_classes,649
8th_out_of_10_classes,650
8th_out_of_10_classes,651
8th_out_of_10_classes,652
8th_out_of_10_classes,653
8th_out_of_10_classes,654
8th_out_of_10_classes,655
8th_out_of_10_classes,656
8th_out_of_10_classes,657
8th_out_of_10_classes,658
8th_out_of_10_classes,659
8th_out_of_10_classes,660
8th_out_of_10_classes,661
8th_out_of_10_classes,662
8th_out_of_10_classes,663
8th_out_of_10_classes,664
8th_out_of_10_classes,665
8th_out_of_10_classes,666
8th_out_of_10_classes,667
8th_out_of_10_classes,668
8th_out_of_10_classes,669
8th_out_of_10_classes,670
8th_out_of_10_classes,671
8th_out_of_10_classes,672
8th_out_of_10_classes,673
8th_out_of_10_classes,674
8th_out_of_10_classes,675
8th_out_of_10_classes,676
8th_out_of_10_classes,677
8th_out_of_10_classes,678
8th_out_of_10_classes,679
8th_out_of_10_classes,680
8th_out_of_10_classes,681
8th_out_of_10_classes,682
8th_out_of_10_classes,683
8th_out_of_10_classes,684
8th_out_of_10_classes,685
8th_out_of_10_classes,686
8th_out_of_10_classes,687
8th_out_of_10_classes,688
8th_out_of_10_classes,689
8th_out_of_10_classes,690
8th_out_of_10_classes,691
8th_out_of_10_classes,692
8th_out_of_10_classes,693
8th_out_of_10_classes,694
8th_out_of_10_classes,695
8th_out_of_10_classes,696
8th_out_of_10_classes,697
8th_out_of_10_classes,698
8th_out_of_10_classes,699
8th_out_of_10_classes,700
8th_out_of_10_classes,701
8th_out_of_10_classes,702
8th_out_of_10_classes,703
8th_out_of_10_classes,704
8th_out_of_10_classes,705
8th_out_of_10_classes,706
8th_out_of_10_classes,707
8th_out_of_10_classes,708
8th_out_of_10_classes,709
8th_out_of_10_classes,710
8th_out_of_10_classes,711
8th_out_of_10_classes,712
8th_out_of_10_classes,713
8th_out_of_10_classes,714
8th_out_of_10_classes,715
8th_out_of_10_classes,716
8th_out_of_10_classes,717
8th_out_of_10_classes,718
8th_out_of_10_classes,719
8th_out_of_10_classes,720
8th_out_of_10_classes,721
8th_out_of_10_classes,722
8th_out_of_10_classes,723
8th_out_of_10_classes,724
8th_out_of_10_classes,725
8th_out_of_10_classes,726
8th_out_of_10_classes,727
8th_out_of_10_classes,728
8th_out_of_10_classes,729
8th_out_of_10_classes,730
8th_out_of_10_classes,731
8th_out_of_10_classes,732
8th_out_of_10_classes,733
8th_out_of_10_classes,734
8th_out_of_10_classes,735
8th_out_of_10_classes,736
8th_out_of_10_classes,737
8th_out_of_10_classes,738
8th_out_of_10_classes,739
8th_out_of_10_classes,740
8th_out_of_10_classes,741
8th_out_of_10_classes,742
