sm_type,role_k1000_v3_num
selected_vars_gbrl_salary_1000,89
selected_vars_gbrl_salary_1000,98
selected_vars_gbrl_salary_1000,173
selected_vars_gbrl_salary_1000,209
selected_vars_gbrl_salary_1000,312
selected_vars_gbrl_salary_1000,353
selected_vars_gbrl_salary_1000,380
selected_vars_gbrl_salary_1000,417
selected_vars_gbrl_salary_1000,448
selected_vars_gbrl_salary_1000,479
selected_vars_gbrl_salary_1000,493
selected_vars_gbrl_salary_1000,548
selected_vars_gbrl_salary_1000,556
selected_vars_gbrl_salary_1000,633
selected_vars_gbrl_salary_1000,638
selected_vars_gbrl_salary_1000,654
selected_vars_gbrl_salary_1000,671
selected_vars_gbrl_salary_1000,672
selected_vars_gbrl_salary_1000,673
selected_vars_gbrl_salary_1000,674
selected_vars_gbrl_salary_1000,679
selected_vars_gbrl_salary_1000,682
selected_vars_gbrl_salary_1000,683
selected_vars_gbrl_salary_1000,689
selected_vars_gbrl_salary_1000,696
selected_vars_gbrl_salary_1000,703
selected_vars_gbrl_salary_1000,708
selected_vars_gbrl_salary_1000,736
selected_vars_gbrl_salary_1000,740
selected_vars_gbrl_salary_1000,742
selected_vars_gbrl_salary_1000,744
selected_vars_gbrl_salary_1000,753
selected_vars_gbrl_salary_1000,790
selected_vars_gbrl_salary_1000,811
selected_vars_gbrl_salary_1000,812
selected_vars_gbrl_salary_1000,829
selected_vars_gbrl_salary_1000,846
selected_vars_gbrl_salary_1000,897
selected_vars_gbrl_salary_1000,911
selected_vars_gbrl_salary_1000,1003
