sm_type,role_k1000_v3_num
selected_vars_predict_salary_w_count_100,633
selected_vars_predict_salary_w_count_100,638
selected_vars_predict_salary_w_count_100,640
selected_vars_predict_salary_w_count_100,642
selected_vars_predict_salary_w_count_100,643
selected_vars_predict_salary_w_count_100,645
selected_vars_predict_salary_w_count_100,649
selected_vars_predict_salary_w_count_100,672
selected_vars_predict_salary_w_count_100,674
selected_vars_predict_salary_w_count_100,677
selected_vars_predict_salary_w_count_100,679
selected_vars_predict_salary_w_count_100,682
selected_vars_predict_salary_w_count_100,683
selected_vars_predict_salary_w_count_100,687
selected_vars_predict_salary_w_count_100,695
selected_vars_predict_salary_w_count_100,702
selected_vars_predict_salary_w_count_100,720
selected_vars_predict_salary_w_count_100,724
selected_vars_predict_salary_w_count_100,736
selected_vars_predict_salary_w_count_100,740
selected_vars_predict_salary_w_count_100,742
