sm_type,role_k1000_v3_num
out_of_50_classes_elastic,112
out_of_50_classes_elastic,113
out_of_50_classes_elastic,114
out_of_50_classes_elastic,115
out_of_50_classes_elastic,116
out_of_50_classes_elastic,117
out_of_50_classes_elastic,118
out_of_50_classes_elastic,119
out_of_50_classes_elastic,120
out_of_50_classes_elastic,121
out_of_50_classes_elastic,122
out_of_50_classes_elastic,123
out_of_50_classes_elastic,124
out_of_50_classes_elastic,125
out_of_50_classes_elastic,126
out_of_50_classes_elastic,127
out_of_50_classes_elastic,128
out_of_50_classes_elastic,129
out_of_50_classes_elastic,130
out_of_50_classes_elastic,131
out_of_50_classes_elastic,132
out_of_50_classes_elastic,133
out_of_50_classes_elastic,134
out_of_50_classes_elastic,135
out_of_50_classes_elastic,136
out_of_50_classes_elastic,137
out_of_50_classes_elastic,138
out_of_50_classes_elastic,139
out_of_50_classes_elastic,140
out_of_50_classes_elastic,141
out_of_50_classes_elastic,142
out_of_50_classes_elastic,328
out_of_50_classes_elastic,329
out_of_50_classes_elastic,330
out_of_50_classes_elastic,331
out_of_50_classes_elastic,332
out_of_50_classes_elastic,333
out_of_50_classes_elastic,334
out_of_50_classes_elastic,335
out_of_50_classes_elastic,336
out_of_50_classes_elastic,337
out_of_50_classes_elastic,413
out_of_50_classes_elastic,414
out_of_50_classes_elastic,415
out_of_50_classes_elastic,416
out_of_50_classes_elastic,417
out_of_50_classes_elastic,418
out_of_50_classes_elastic,419
out_of_50_classes_elastic,420
out_of_50_classes_elastic,421
out_of_50_classes_elastic,422
out_of_50_classes_elastic,423
out_of_50_classes_elastic,442
out_of_50_classes_elastic,443
out_of_50_classes_elastic,444
out_of_50_classes_elastic,445
out_of_50_classes_elastic,446
out_of_50_classes_elastic,447
out_of_50_classes_elastic,448
out_of_50_classes_elastic,449
out_of_50_classes_elastic,450
out_of_50_classes_elastic,451
out_of_50_classes_elastic,452
out_of_50_classes_elastic,633
out_of_50_classes_elastic,634
out_of_50_classes_elastic,635
out_of_50_classes_elastic,636
out_of_50_classes_elastic,637
out_of_50_classes_elastic,638
out_of_50_classes_elastic,639
out_of_50_classes_elastic,640
out_of_50_classes_elastic,641
out_of_50_classes_elastic,642
out_of_50_classes_elastic,643
out_of_50_classes_elastic,644
out_of_50_classes_elastic,645
out_of_50_classes_elastic,646
out_of_50_classes_elastic,647
out_of_50_classes_elastic,648
out_of_50_classes_elastic,649
out_of_50_classes_elastic,650
out_of_50_classes_elastic,651
out_of_50_classes_elastic,652
out_of_50_classes_elastic,653
out_of_50_classes_elastic,654
out_of_50_classes_elastic,655
out_of_50_classes_elastic,656
out_of_50_classes_elastic,657
out_of_50_classes_elastic,658
out_of_50_classes_elastic,659
out_of_50_classes_elastic,660
out_of_50_classes_elastic,661
out_of_50_classes_elastic,662
out_of_50_classes_elastic,663
out_of_50_classes_elastic,664
out_of_50_classes_elastic,665
out_of_50_classes_elastic,666
out_of_50_classes_elastic,667
out_of_50_classes_elastic,668
out_of_50_classes_elastic,669
out_of_50_classes_elastic,670
out_of_50_classes_elastic,671
out_of_50_classes_elastic,672
out_of_50_classes_elastic,673
out_of_50_classes_elastic,674
out_of_50_classes_elastic,675
out_of_50_classes_elastic,676
out_of_50_classes_elastic,695
out_of_50_classes_elastic,696
out_of_50_classes_elastic,697
out_of_50_classes_elastic,698
out_of_50_classes_elastic,699
out_of_50_classes_elastic,700
out_of_50_classes_elastic,701
out_of_50_classes_elastic,702
out_of_50_classes_elastic,703
out_of_50_classes_elastic,704
out_of_50_classes_elastic,705
out_of_50_classes_elastic,706
out_of_50_classes_elastic,707
out_of_50_classes_elastic,708
out_of_50_classes_elastic,709
out_of_50_classes_elastic,710
out_of_50_classes_elastic,711
out_of_50_classes_elastic,712
out_of_50_classes_elastic,713
out_of_50_classes_elastic,714
out_of_50_classes_elastic,715
out_of_50_classes_elastic,716
out_of_50_classes_elastic,717
out_of_50_classes_elastic,718
out_of_50_classes_elastic,719
out_of_50_classes_elastic,720
out_of_50_classes_elastic,721
out_of_50_classes_elastic,722
out_of_50_classes_elastic,723
out_of_50_classes_elastic,724
out_of_50_classes_elastic,725
out_of_50_classes_elastic,726
out_of_50_classes_elastic,727
out_of_50_classes_elastic,728
out_of_50_classes_elastic,729
out_of_50_classes_elastic,730
out_of_50_classes_elastic,731
out_of_50_classes_elastic,732
out_of_50_classes_elastic,733
out_of_50_classes_elastic,734
out_of_50_classes_elastic,735
out_of_50_classes_elastic,736
out_of_50_classes_elastic,737
out_of_50_classes_elastic,738
out_of_50_classes_elastic,739
out_of_50_classes_elastic,740
out_of_50_classes_elastic,741
out_of_50_classes_elastic,742
out_of_50_classes_elastic,840
out_of_50_classes_elastic,841
out_of_50_classes_elastic,842
out_of_50_classes_elastic,843
out_of_50_classes_elastic,844
out_of_50_classes_elastic,845
out_of_50_classes_elastic,846
out_of_50_classes_elastic,847
out_of_50_classes_elastic,848
out_of_50_classes_elastic,849
out_of_50_classes_elastic,850
out_of_50_classes_elastic,851
out_of_50_classes_elastic,852
out_of_50_classes_elastic,853
