selected_var
salary_k50_5
salary_k50_11
salary_k50_12
salary_k50_13
salary_k50_19
salary_k50_20
salary_k50_26
salary_k50_27
salary_k50_32
salary_k50_38
salary_k50_39
salary_k50_40
salary_k50_41
salary_k50_42
salary_k50_43
salary_k50_50
