selected_var
total_compensation_k1000_21
total_compensation_k1000_159
total_compensation_k1000_160
total_compensation_k1000_171
total_compensation_k1000_206
total_compensation_k1000_209
total_compensation_k1000_309
total_compensation_k1000_325
total_compensation_k1000_343
total_compensation_k1000_368
total_compensation_k1000_377
total_compensation_k1000_392
total_compensation_k1000_393
total_compensation_k1000_417
total_compensation_k1000_448
total_compensation_k1000_479
total_compensation_k1000_548
total_compensation_k1000_633
total_compensation_k1000_641
total_compensation_k1000_645
total_compensation_k1000_652
total_compensation_k1000_654
total_compensation_k1000_666
total_compensation_k1000_673
total_compensation_k1000_675
total_compensation_k1000_677
total_compensation_k1000_678
total_compensation_k1000_680
total_compensation_k1000_682
total_compensation_k1000_683
total_compensation_k1000_685
total_compensation_k1000_687
total_compensation_k1000_688
total_compensation_k1000_693
total_compensation_k1000_702
total_compensation_k1000_705
total_compensation_k1000_706
total_compensation_k1000_707
total_compensation_k1000_710
total_compensation_k1000_711
total_compensation_k1000_716
total_compensation_k1000_720
total_compensation_k1000_724
total_compensation_k1000_725
total_compensation_k1000_728
total_compensation_k1000_730
total_compensation_k1000_735
total_compensation_k1000_740
total_compensation_k1000_745
total_compensation_k1000_775
total_compensation_k1000_791
total_compensation_k1000_805
total_compensation_k1000_806
total_compensation_k1000_808
total_compensation_k1000_811
total_compensation_k1000_836
total_compensation_k1000_864
total_compensation_k1000_875
total_compensation_k1000_879
total_compensation_k1000_897
total_compensation_k1000_911
