selected_var
salary_k1000_89
salary_k1000_98
salary_k1000_173
salary_k1000_209
salary_k1000_312
salary_k1000_353
salary_k1000_380
salary_k1000_417
salary_k1000_448
salary_k1000_479
salary_k1000_493
salary_k1000_548
salary_k1000_556
salary_k1000_633
salary_k1000_638
salary_k1000_654
salary_k1000_671
salary_k1000_672
salary_k1000_673
salary_k1000_674
salary_k1000_679
salary_k1000_682
salary_k1000_683
salary_k1000_689
salary_k1000_696
salary_k1000_703
salary_k1000_708
salary_k1000_736
salary_k1000_740
salary_k1000_742
salary_k1000_744
salary_k1000_753
salary_k1000_790
salary_k1000_811
salary_k1000_812
salary_k1000_829
salary_k1000_846
salary_k1000_897
salary_k1000_911
salary_k1000_1003
