selected_var
salary_k1000_633
salary_k1000_638
salary_k1000_645
salary_k1000_649
salary_k1000_666
salary_k1000_668
salary_k1000_671
salary_k1000_672
salary_k1000_680
salary_k1000_682
salary_k1000_684
salary_k1000_687
salary_k1000_688
salary_k1000_695
salary_k1000_696
salary_k1000_703
salary_k1000_724
salary_k1000_736
salary_k1000_740
salary_k1000_742
