selected_var
total_compensation_k50_5
total_compensation_k50_8
total_compensation_k50_11
total_compensation_k50_12
total_compensation_k50_13
total_compensation_k50_16
total_compensation_k50_18
total_compensation_k50_19
total_compensation_k50_21
total_compensation_k50_24
total_compensation_k50_27
total_compensation_k50_32
total_compensation_k50_36
total_compensation_k50_38
total_compensation_k50_39
total_compensation_k50_40
total_compensation_k50_41
total_compensation_k50_42
total_compensation_k50_43
total_compensation_k50_44
total_compensation_k50_45
total_compensation_k50_50
total_compensation_k50_51
